Division,Year,TotalGoals,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners,FTResult
ARG,2012,2.2127659574468086,,,,,,,,,,,,,"{'H': 0.4148936170212766, 'D': 0.32978723404255317, 'A': 0.2553191489361702}"
ARG,2013,2.2114882506527413,,,,,,,,,,,,,"{'H': 0.4386422976501306, 'D': 0.33159268929503916, 'A': 0.2297650130548303}"
ARG,2014,2.337696335078534,,,,,,,,,,,,,"{'H': 0.4607329842931937, 'A': 0.2696335078534031, 'D': 0.2696335078534031}"
ARG,2015,2.230277185501066,,,,,,,,,,,,,"{'H': 0.417910447761194, 'D': 0.302771855010661, 'A': 0.279317697228145}"
ARG,2016,2.336283185840708,,,,,,,,,,,,,"{'H': 0.4557522123893805, 'D': 0.29646017699115046, 'A': 0.24778761061946902}"
ARG,2017,2.312807881773399,,,,,,,,,,,,,"{'H': 0.45320197044334976, 'A': 0.3103448275862069, 'D': 0.23645320197044334}"
ARG,2018,2.245614035087719,,,,,,,,,,,,,"{'H': 0.44862155388471175, 'D': 0.3007518796992481, 'A': 0.2506265664160401}"
ARG,2019,2.274390243902439,,,,,,,,,,,,,"{'H': 0.42073170731707316, 'A': 0.29573170731707316, 'D': 0.28353658536585363}"
ARG,2020,2.4041450777202074,,,,,,,,,,,,,"{'H': 0.35751295336787564, 'A': 0.35233160621761656, 'D': 0.29015544041450775}"
ARG,2021,2.487666034155598,,,,,,,,,,,,,"{'H': 0.42314990512333966, 'D': 0.2922201138519924, 'A': 0.2846299810246679}"
ARG,2022,2.325301204819277,,,,,,,,,,,,,"{'H': 0.42512908777969016, 'D': 0.3046471600688468, 'A': 0.270223752151463}"
ARG,2023,2.027491408934708,,,,,,,,,,,,,"{'H': 0.44501718213058417, 'D': 0.33505154639175255, 'A': 0.21993127147766323}"
ARG,2024,2.131818181818182,,,,,,,,,,,,,"{'H': 0.42954545454545456, 'D': 0.31363636363636366, 'A': 0.25681818181818183}"
AUT,2012,3.101010101010101,,,,,,,,,,,,,"{'H': 0.45454545454545453, 'A': 0.36363636363636365, 'D': 0.18181818181818182}"
AUT,2013,3.210810810810811,,,,,,,,,,,,,"{'H': 0.42162162162162165, 'A': 0.2918918918918919, 'D': 0.2864864864864865}"
AUT,2014,3.111111111111111,,,,,,,,,,,,,"{'H': 0.4269005847953216, 'A': 0.3216374269005848, 'D': 0.25146198830409355}"
AUT,2015,2.843243243243243,,,,,,,,,,,,,"{'H': 0.5135135135135135, 'A': 0.2594594594594595, 'D': 0.22702702702702704}"
AUT,2016,2.6166666666666667,,,,,,,,,,,,,"{'H': 0.45, 'A': 0.32222222222222224, 'D': 0.22777777777777777}"
AUT,2017,2.727777777777778,,,,,,,,,,,,,"{'H': 0.5, 'A': 0.26666666666666666, 'D': 0.23333333333333334}"
AUT,2018,2.873684210526316,,,,,,,,,,,,,"{'H': 0.43157894736842106, 'A': 0.3526315789473684, 'D': 0.21578947368421053}"
AUT,2019,3.287179487179487,,,,,,,,,,,,,"{'A': 0.4153846153846154, 'H': 0.37435897435897436, 'D': 0.21025641025641026}"
AUT,2020,3.2025316455696204,,,,,,,,,,,,,"{'A': 0.3924050632911392, 'H': 0.3670886075949367, 'D': 0.24050632911392406}"
AUT,2021,2.905982905982906,,,,,,,,,,,,,"{'H': 0.3974358974358974, 'A': 0.32905982905982906, 'D': 0.27350427350427353}"
AUT,2022,2.9344262295081966,,,,,,,,,,,,,"{'H': 0.3770491803278688, 'A': 0.34972677595628415, 'D': 0.273224043715847}"
AUT,2023,2.7412935323383083,,,,,,,,,,,,,"{'H': 0.3880597014925373, 'A': 0.3383084577114428, 'D': 0.2736318407960199}"
AUT,2024,2.6758620689655173,,,,,,,,,,,,,"{'H': 0.38620689655172413, 'A': 0.3103448275862069, 'D': 0.30344827586206896}"
B1,2000,3.3229813664596275,,,,,,,,,,,,,"{'H': 0.5341614906832298, 'A': 0.2732919254658385, 'D': 0.19254658385093168}"
B1,2001,3.0167785234899327,,,,,,,,,,,,,"{'H': 0.4597315436241611, 'A': 0.28523489932885904, 'D': 0.2550335570469799}"
B1,2002,3.265151515151515,,,,,,,,,,,,,"{'H': 0.4772727272727273, 'A': 0.26515151515151514, 'D': 0.25757575757575757}"
B1,2003,2.581699346405229,,,,,,,,,,,,,"{'H': 0.43137254901960786, 'D': 0.2875816993464052, 'A': 0.28104575163398693}"
B1,2004,2.8171206225680936,,,,,,,,,,,,,"{'H': 0.48249027237354086, 'A': 0.26848249027237353, 'D': 0.2490272373540856}"
B1,2005,2.8363636363636364,,,,,,,,,,,,,"{'H': 0.5045454545454545, 'A': 0.2636363636363636, 'D': 0.2318181818181818}"
B1,2006,2.461279461279461,,,,,,,,,,,,,"{'H': 0.47474747474747475, 'D': 0.2760942760942761, 'A': 0.24915824915824916}"
B1,2007,2.8453947368421053,,,,,,,,,,,,,"{'H': 0.4934210526315789, 'D': 0.26644736842105265, 'A': 0.24013157894736842}"
B1,2008,2.6396103896103895,,,,,,,,,,,,,"{'H': 0.474025974025974, 'A': 0.2662337662337662, 'D': 0.2597402597402597}"
B1,2009,2.734006734006734,,,,,,,,,,,,,"{'H': 0.468013468013468, 'A': 0.31986531986531985, 'D': 0.21212121212121213}"
B1,2010,2.763157894736842,,,,,,,,,,,,,"{'H': 0.4868421052631579, 'A': 0.2675438596491228, 'D': 0.24561403508771928}"
B1,2011,2.643478260869565,,,,,,,,,,,,,"{'H': 0.46956521739130436, 'D': 0.2956521739130435, 'A': 0.23478260869565218}"
B1,2012,3.0454545454545454,,,,,,,,,,,,,"{'H': 0.4659090909090909, 'A': 0.29545454545454547, 'D': 0.23863636363636365}"
B1,2013,2.6594827586206895,,,,,,,,,,,,,"{'H': 0.46551724137931033, 'A': 0.2974137931034483, 'D': 0.23706896551724138}"
B1,2014,2.794979079497908,,,,,,,,,,,,,"{'H': 0.4560669456066946, 'A': 0.2928870292887029, 'D': 0.2510460251046025}"
B1,2015,2.7427385892116183,,,,,,,,,,,,,"{'H': 0.4605809128630705, 'A': 0.2987551867219917, 'D': 0.24066390041493776}"
B1,2016,2.8912133891213387,,,,,,,,,,,,,"{'H': 0.5104602510460251, 'D': 0.2594142259414226, 'A': 0.2301255230125523}"
B1,2017,2.75,17.101796407185628,18.11377245508982,2.1317365269461077,2.467065868263473,0.1377245508982036,0.15568862275449102,10.784431137724551,8.47305389221557,5.269461077844311,4.197604790419161,5.862275449101796,4.269461077844311,"{'H': 0.44166666666666665, 'A': 0.30833333333333335, 'D': 0.25}"
B1,2018,2.904564315352697,16.01673640167364,16.589958158995817,2.008298755186722,2.5684647302904566,0.08298755186721991,0.15767634854771784,11.08298755186722,8.95435684647303,5.460580912863071,4.622406639004149,5.539419087136929,4.477178423236515,"{'H': 0.45228215767634855, 'A': 0.2863070539419087, 'D': 0.26141078838174275}"
B1,2019,2.8451882845188283,14.430962343096235,15.615062761506277,1.6359832635983265,2.1464435146443517,0.06276150627615062,0.13389121338912133,10.439330543933055,8.815899581589958,5.108786610878661,4.389121338912134,5.476987447698745,4.489539748953975,"{'H': 0.4602510460251046, 'A': 0.29707112970711297, 'D': 0.24267782426778242}"
B1,2020,2.9570815450643777,12.879828326180258,13.40343347639485,1.8583690987124464,2.111587982832618,0.12017167381974249,0.0944206008583691,12.467811158798284,11.094420600858369,4.828326180257511,4.2703862660944205,5.257510729613734,4.472103004291846,"{'H': 0.4334763948497854, 'A': 0.3562231759656652, 'D': 0.21030042918454936}"
B1,2021,3.0338461538461536,11.75,12.12037037037037,1.8676923076923078,2.1969230769230768,0.12307692307692308,0.12307692307692308,13.561728395061728,12.037037037037036,4.79320987654321,4.354938271604938,5.577160493827161,4.768518518518518,"{'H': 0.4, 'A': 0.37846153846153846, 'D': 0.22153846153846155}"
B1,2022,2.9395017793594307,11.028880866425993,11.859205776173285,1.891696750902527,2.296028880866426,0.12274368231046931,0.20216606498194944,13.776173285198556,10.765342960288809,4.931407942238267,3.88086642599278,5.64259927797834,4.371841155234657,"{'H': 0.4483985765124555, 'A': 0.35587188612099646, 'D': 0.19572953736654805}"
B1,2023,2.898026315789474,10.993421052631579,11.891447368421053,1.743421052631579,2.023026315789474,0.08881578947368421,0.09868421052631579,13.960526315789474,11.730263157894736,4.996710526315789,4.240131578947368,5.4506578947368425,4.592105263157895,"{'H': 0.4342105263157895, 'D': 0.28289473684210525, 'A': 0.28289473684210525}"
